starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 15:51:58 2024	1705675918	21	38	60	38
Fri Jan 19 15:51:57 2024	1705675917	21	46	67	44
Fri Jan 19 15:51:55 2024	1705675915	22	46	68	46
Fri Jan 19 15:51:59 2024	1705675919	20	49	69	47
Fri Jan 19 15:51:57 2024	1705675917	22	47	69	45
Fri Jan 19 15:51:57 2024	1705675917	21	48	69	47
Fri Jan 19 15:52:00 2024	1705675920	24	45	69	44
Fri Jan 19 15:51:57 2024	1705675917	25	46	71	45
Fri Jan 19 15:51:56 2024	1705675916	22	49	71	48
Fri Jan 19 15:51:53 2024	1705675913	26	44	71	44
Fri Jan 19 15:51:55 2024	1705675915	24	47	71	45
Fri Jan 19 15:51:57 2024	1705675917	23	49	72	48
Fri Jan 19 15:51:56 2024	1705675916	22	50	72	49
Fri Jan 19 15:52:00 2024	1705675920	24	48	72	46
Fri Jan 19 15:51:59 2024	1705675919	25	47	72	46
Fri Jan 19 15:51:54 2024	1705675914	28	44	72	44
Fri Jan 19 15:51:59 2024	1705675919	25	48	72	46
Fri Jan 19 15:51:58 2024	1705675918	28	45	73	44
Fri Jan 19 15:51:57 2024	1705675917	21	52	73	51
Fri Jan 19 15:51:55 2024	1705675915	22	51	73	51
Fri Jan 19 15:51:53 2024	1705675913	28	45	73	45
Fri Jan 19 15:51:58 2024	1705675918	23	50	73	49
Fri Jan 19 15:51:57 2024	1705675917	26	47	73	45
Fri Jan 19 15:51:58 2024	1705675918	29	44	73	44
Fri Jan 19 15:51:58 2024	1705675918	22	52	74	52
Fri Jan 19 15:51:57 2024	1705675917	22	53	74	50
Fri Jan 19 15:51:52 2024	1705675912	26	48	74	47
Fri Jan 19 15:51:55 2024	1705675915	31	43	75	43
Fri Jan 19 15:51:55 2024	1705675915	25	50	75	45
Fri Jan 19 15:51:54 2024	1705675914	27	49	75	48
Fri Jan 19 15:52:00 2024	1705675920	22	54	75	53
Fri Jan 19 15:51:55 2024	1705675915	26	49	75	49
Fri Jan 19 15:51:54 2024	1705675914	22	53	76	52
Fri Jan 19 15:52:00 2024	1705675920	22	54	76	54
Fri Jan 19 15:51:54 2024	1705675914	24	53	76	52
Fri Jan 19 15:51:58 2024	1705675918	25	51	76	49
Fri Jan 19 15:51:54 2024	1705675914	18	58	76	57
Fri Jan 19 15:51:54 2024	1705675914	31	46	76	43
Fri Jan 19 15:51:54 2024	1705675914	25	52	76	51
Fri Jan 19 15:51:59 2024	1705675919	27	50	76	47
Fri Jan 19 15:51:53 2024	1705675913	23	54	77	53
Fri Jan 19 15:51:59 2024	1705675919	23	53	77	53
Fri Jan 19 15:51:52 2024	1705675912	20	56	77	55
Fri Jan 19 15:51:55 2024	1705675915	25	52	77	52
Fri Jan 19 15:51:58 2024	1705675918	28	49	77	49
Fri Jan 19 15:51:58 2024	1705675918	24	53	77	52
Fri Jan 19 15:51:54 2024	1705675914	26	51	77	50
Fri Jan 19 15:51:59 2024	1705675919	23	55	77	53
Fri Jan 19 15:51:56 2024	1705675916	22	56	77	54
Fri Jan 19 15:51:58 2024	1705675918	26	51	77	50
Fri Jan 19 15:51:58 2024	1705675918	34	43	77	43
Fri Jan 19 15:51:54 2024	1705675914	26	52	78	52
Fri Jan 19 15:51:53 2024	1705675913	27	51	78	50
Fri Jan 19 15:51:54 2024	1705675914	28	50	78	48
Fri Jan 19 15:51:54 2024	1705675914	23	55	78	55
Fri Jan 19 15:51:53 2024	1705675913	22	55	78	54
Fri Jan 19 15:51:59 2024	1705675919	24	54	78	53
Fri Jan 19 15:51:52 2024	1705675912	23	55	78	54
Fri Jan 19 15:51:57 2024	1705675917	25	53	78	52
Fri Jan 19 15:51:55 2024	1705675915	31	48	78	45
Fri Jan 19 15:51:58 2024	1705675918	28	50	78	50
Fri Jan 19 15:51:54 2024	1705675914	25	53	78	52
Fri Jan 19 15:51:53 2024	1705675913	26	52	78	52
Fri Jan 19 15:52:00 2024	1705675920	29	50	78	48
Fri Jan 19 15:51:59 2024	1705675919	22	56	78	55
Fri Jan 19 15:51:56 2024	1705675916	27	52	78	51
Fri Jan 19 15:51:57 2024	1705675917	20	58	79	57
Fri Jan 19 15:51:58 2024	1705675918	27	52	79	50
Fri Jan 19 15:51:55 2024	1705675915	24	55	79	55
Fri Jan 19 15:51:56 2024	1705675916	25	53	79	50
Fri Jan 19 15:51:54 2024	1705675914	21	58	79	55
Fri Jan 19 15:51:54 2024	1705675914	25	54	79	53
Fri Jan 19 15:51:59 2024	1705675919	17	62	79	62
Fri Jan 19 15:51:55 2024	1705675915	28	51	79	50
Fri Jan 19 15:51:55 2024	1705675915	22	57	79	55
Fri Jan 19 15:52:00 2024	1705675920	26	53	79	52
Fri Jan 19 15:51:54 2024	1705675914	27	53	79	50
Fri Jan 19 15:51:56 2024	1705675916	23	57	80	56
Fri Jan 19 15:51:55 2024	1705675915	22	58	80	58
Fri Jan 19 15:51:53 2024	1705675913	22	57	80	55
Fri Jan 19 15:51:59 2024	1705675919	24	55	80	53
Fri Jan 19 15:51:59 2024	1705675919	23	57	80	54
Fri Jan 19 15:51:59 2024	1705675919	25	55	80	55
Fri Jan 19 15:51:58 2024	1705675918	22	58	80	58
Fri Jan 19 15:51:57 2024	1705675917	25	55	80	54
Fri Jan 19 15:51:57 2024	1705675917	28	53	81	51
Fri Jan 19 15:51:52 2024	1705675912	21	59	81	59
Fri Jan 19 15:52:00 2024	1705675920	23	58	81	57
Fri Jan 19 15:51:57 2024	1705675917	27	54	81	52
Fri Jan 19 15:51:54 2024	1705675914	21	60	81	60
Fri Jan 19 15:51:57 2024	1705675917	30	51	81	50
Fri Jan 19 15:51:57 2024	1705675917	24	57	81	57
Fri Jan 19 15:51:58 2024	1705675918	20	61	81	59
Fri Jan 19 15:51:52 2024	1705675912	24	57	81	56
Fri Jan 19 15:51:54 2024	1705675914	26	56	81	55
Fri Jan 19 15:51:59 2024	1705675919	27	54	81	53
Fri Jan 19 15:51:52 2024	1705675912	29	52	81	51
Fri Jan 19 15:51:53 2024	1705675913	21	60	81	59
Fri Jan 19 15:51:58 2024	1705675918	25	56	81	56
Fri Jan 19 15:51:54 2024	1705675914	25	56	82	56
Fri Jan 19 15:51:59 2024	1705675919	24	57	82	57
Fri Jan 19 15:51:54 2024	1705675914	23	58	82	56
Fri Jan 19 15:51:53 2024	1705675913	29	53	82	52
Fri Jan 19 15:51:57 2024	1705675917	29	52	82	51
Fri Jan 19 15:51:53 2024	1705675913	24	58	82	57
Fri Jan 19 15:51:54 2024	1705675914	23	59	82	58
Fri Jan 19 15:52:00 2024	1705675920	27	55	82	55
Fri Jan 19 15:51:53 2024	1705675913	23	59	82	57
Fri Jan 19 15:51:52 2024	1705675912	29	53	82	51
Fri Jan 19 15:51:52 2024	1705675912	27	55	82	53
Fri Jan 19 15:51:57 2024	1705675917	24	58	82	56
Fri Jan 19 15:51:54 2024	1705675914	33	49	82	48
Fri Jan 19 15:51:55 2024	1705675915	25	58	82	57
Fri Jan 19 15:51:58 2024	1705675918	32	50	82	50
Fri Jan 19 15:51:57 2024	1705675917	29	53	82	53
Fri Jan 19 15:51:55 2024	1705675915	27	55	82	54
Fri Jan 19 15:51:53 2024	1705675913	22	60	82	59
Fri Jan 19 15:51:56 2024	1705675916	25	57	82	56
Fri Jan 19 15:51:59 2024	1705675919	29	53	82	53
Fri Jan 19 15:52:00 2024	1705675920	28	54	82	53
Fri Jan 19 15:51:58 2024	1705675918	22	61	83	59
Fri Jan 19 15:52:00 2024	1705675920	24	59	83	58
Fri Jan 19 15:51:59 2024	1705675919	30	53	83	51
Fri Jan 19 15:52:00 2024	1705675920	27	55	83	54
Fri Jan 19 15:51:54 2024	1705675914	27	56	83	55
Fri Jan 19 15:51:57 2024	1705675917	26	57	83	56
Fri Jan 19 15:51:57 2024	1705675917	29	54	83	53
Fri Jan 19 15:51:54 2024	1705675914	28	55	83	54
Fri Jan 19 15:51:56 2024	1705675916	25	58	83	56
Fri Jan 19 15:51:54 2024	1705675914	23	60	83	58
Fri Jan 19 15:51:57 2024	1705675917	31	52	83	51
Fri Jan 19 15:51:52 2024	1705675912	28	55	83	55
Fri Jan 19 15:51:56 2024	1705675916	29	54	83	52
Fri Jan 19 15:51:59 2024	1705675919	28	56	83	53
Fri Jan 19 15:52:01 2024	1705675921	25	59	83	58
Fri Jan 19 15:51:53 2024	1705675913	28	55	83	54
Fri Jan 19 15:52:00 2024	1705675920	26	57	83	57
Fri Jan 19 15:51:57 2024	1705675917	22	62	83	62
Fri Jan 19 15:51:55 2024	1705675915	28	56	83	54
Fri Jan 19 15:51:53 2024	1705675913	27	56	83	55
Fri Jan 19 15:52:00 2024	1705675920	23	61	83	59
Fri Jan 19 15:51:52 2024	1705675912	27	57	83	55
Fri Jan 19 15:51:59 2024	1705675919	27	57	83	52
Fri Jan 19 15:52:00 2024	1705675920	21	62	84	62
Fri Jan 19 15:51:59 2024	1705675919	27	57	84	50
Fri Jan 19 15:51:57 2024	1705675917	31	53	84	53
Fri Jan 19 15:52:01 2024	1705675921	23	60	84	59
Fri Jan 19 15:51:54 2024	1705675914	26	57	84	56
Fri Jan 19 15:51:57 2024	1705675917	34	50	84	49
Fri Jan 19 15:51:58 2024	1705675918	22	62	84	61
Fri Jan 19 15:51:58 2024	1705675918	28	55	84	55
Fri Jan 19 15:52:01 2024	1705675921	26	58	84	55
Fri Jan 19 15:51:52 2024	1705675912	22	62	84	60
Fri Jan 19 15:52:01 2024	1705675921	28	56	84	54
Fri Jan 19 15:51:53 2024	1705675913	26	58	84	57
Fri Jan 19 15:51:57 2024	1705675917	29	55	84	53
Fri Jan 19 15:51:58 2024	1705675918	22	62	84	59
Fri Jan 19 15:51:55 2024	1705675915	28	56	84	55
Fri Jan 19 15:52:00 2024	1705675920	24	60	84	57
Fri Jan 19 15:51:58 2024	1705675918	29	55	84	55
Fri Jan 19 15:51:57 2024	1705675917	26	58	84	56
Fri Jan 19 15:51:59 2024	1705675919	25	59	84	57
Fri Jan 19 15:51:59 2024	1705675919	25	59	84	54
Fri Jan 19 15:51:57 2024	1705675917	27	57	84	57
Fri Jan 19 15:52:00 2024	1705675920	32	53	84	52
Fri Jan 19 15:51:56 2024	1705675916	23	62	84	62
Fri Jan 19 15:51:59 2024	1705675919	27	57	85	57
Fri Jan 19 15:51:55 2024	1705675915	28	57	85	55
Fri Jan 19 15:51:59 2024	1705675919	28	57	85	55
Fri Jan 19 15:51:55 2024	1705675915	32	53	85	53
Fri Jan 19 15:51:53 2024	1705675913	22	63	85	62
Fri Jan 19 15:51:53 2024	1705675913	21	63	85	62
Fri Jan 19 15:51:59 2024	1705675919	29	56	85	54
Fri Jan 19 15:51:59 2024	1705675919	25	60	85	59
Fri Jan 19 15:51:54 2024	1705675914	33	53	85	52
Fri Jan 19 15:51:54 2024	1705675914	26	59	85	58
Fri Jan 19 15:51:55 2024	1705675915	23	62	85	62
Fri Jan 19 15:51:53 2024	1705675913	29	56	85	56
Fri Jan 19 15:51:57 2024	1705675917	26	59	85	58
Fri Jan 19 15:51:57 2024	1705675917	33	52	85	51
Fri Jan 19 15:51:53 2024	1705675913	23	62	85	60
Fri Jan 19 15:51:54 2024	1705675914	27	58	85	58
Fri Jan 19 15:52:00 2024	1705675920	25	61	85	61
Fri Jan 19 15:51:57 2024	1705675917	31	55	86	54
Fri Jan 19 15:51:58 2024	1705675918	26	60	86	60
Fri Jan 19 15:51:54 2024	1705675914	22	63	86	61
Fri Jan 19 15:51:55 2024	1705675915	22	63	86	62
Fri Jan 19 15:51:59 2024	1705675919	24	62	86	60
Fri Jan 19 15:51:55 2024	1705675915	32	54	86	54
Fri Jan 19 15:51:57 2024	1705675917	26	59	86	59
Fri Jan 19 15:51:56 2024	1705675916	25	61	86	60
Fri Jan 19 15:52:00 2024	1705675920	31	55	86	54
Fri Jan 19 15:51:57 2024	1705675917	29	56	86	56
Fri Jan 19 15:51:58 2024	1705675918	23	63	86	61
Fri Jan 19 15:51:54 2024	1705675914	31	55	86	55
Fri Jan 19 15:51:52 2024	1705675912	30	56	86	54
Fri Jan 19 15:51:53 2024	1705675913	29	57	86	57
Fri Jan 19 15:51:52 2024	1705675912	24	62	86	60
Fri Jan 19 15:51:56 2024	1705675916	26	60	86	58
Fri Jan 19 15:51:53 2024	1705675913	25	61	86	60
